Fragmentation threshold for REORGANIZE?	10-30% fragmentation · always online · leaf-level defrag	dp-800 performance indexes
Fragmentation threshold for REBUILD?	>30% fragmentation · offline by default (use ONLINE = ON) · full rewrite, resets to ~0%	dp-800 performance indexes
MAXDOP 0 vs 1 vs N?	0 = use all available CPUs · 1 = no parallelism · N = use up to N CPUs · override per query: OPTION (MAXDOP n)	dp-800 performance parallelism
Key Lookup warning in a plan — how to fix?	Add the looked-up columns to the nonclustered index's INCLUDE list (covering index)	dp-800 performance query-plan
Implicit conversion warning — what causes it and what does it prevent?	Data-type mismatch in join or filter (e.g., VARCHAR column vs NVARCHAR parameter) · prevents index seeks	dp-800 performance query-plan
Query Store vs plan cache — durability?	Plan cache is volatile (cleared on memory pressure/restart) · Query Store persists plans and stats across restarts · forced plans also survive restarts	dp-800 performance query-store
VECTOR data type — maximum dimensions?	1,998 dimensions	dp-800 vector-ai vector
VECTOR data type — element type and storage?	32-bit float elements · stored in binary format (not JSON) at rest · supports NULL	dp-800 vector-ai vector
VECTOR_DISTANCE function signature?	VECTOR_DISTANCE(metric, vector1, vector2) where metric is 'cosine' | 'dot' | 'euclidean'	dp-800 vector-ai vector distance
Cosine distance range and meaning?	Range 0 to 2 · lower = more similar · 0 = identical · distance = 1 - cosine_similarity	dp-800 vector-ai vector distance
When to use dot product distance?	When magnitude matters · for normalized embeddings, normalize first with VECTOR_NORMALIZE (norm2) then dot product approximates cosine similarity	dp-800 vector-ai vector distance
Euclidean distance — best use case?	Spatial or coordinate data · range 0 to infinity · lower = more similar	dp-800 vector-ai vector distance
CREATE VECTOR INDEX current syntax?	CREATE VECTOR INDEX name ON tbl (col) WITH (METRIC = 'cosine', TYPE = 'diskann')	dp-800 vector-ai diskann
What happens if the DiskANN index metric does NOT match the query metric?	It does NOT raise an error · logs a warning and silently falls back to exact kNN (potentially a major perf regression)	dp-800 vector-ai diskann
DiskANN — is the search exact or approximate?	Approximate (ANN) · may miss the true nearest neighbor for speed · use VECTOR_DISTANCE in ORDER BY without WITH APPROXIMATE for exact kNN	dp-800 vector-ai diskann
DiskANN status across SQL Server 2025, Azure SQL DB, Azure SQL MI, Fabric SQL?	Public preview · SQL Server 2025 also requires PREVIEW_FEATURES = ON	dp-800 vector-ai diskann
Current pattern for top-K vector search using the DiskANN index?	SELECT TOP (N) ... ORDER BY VECTOR_DISTANCE(...) WITH APPROXIMATE	dp-800 vector-ai vector-search
Error raised when TOP_N is used on latest-version vector indexes?	Msg 42274 · TOP_N is deprecated on latest-version indexes · use SELECT TOP (N) ... WITH APPROXIMATE instead	dp-800 vector-ai vector-search
Function to normalize a vector before using dot product as a cosine proxy?	VECTOR_NORMALIZE (norm2) · required to make dot product behave like cosine similarity	dp-800 vector-ai vector
CONTAINS vs FREETEXT — what kind of matching?	CONTAINS = exact / boolean keyword matching · FREETEXT = semantic / inflectional / fuzzy matching	dp-800 vector-ai full-text
CONTAINSTABLE vs CONTAINS — usage?	CONTAINS is a predicate (WHERE clause), no rank · CONTAINSTABLE is a function (FROM/JOIN), returns rank	dp-800 vector-ai full-text
Reciprocal Rank Fusion formula and default k?	RRF score per result = 1 / (k + rank) · default k = 60 · higher total score = more relevant	dp-800 vector-ai hybrid-search rrf
sp_invoke_external_rest_endpoint — timeout?	30 seconds	dp-800 vector-ai sp-invoke
sp_invoke_external_rest_endpoint — max response size?	100 MB	dp-800 vector-ai sp-invoke
How is the Azure OpenAI API key supplied to sp_invoke_external_rest_endpoint?	Via a DATABASE SCOPED CREDENTIAL · IDENTITY = 'HTTPEndpointHeaders' · SECRET = '{"api-key":"..."}' · not hard-coded	dp-800 vector-ai sp-invoke
Dimensions: text-embedding-3-small?	1,536 dimensions · max 8,191 tokens	dp-800 vector-ai embeddings
Dimensions: text-embedding-3-large?	3,072 dimensions · max 8,191 tokens	dp-800 vector-ai embeddings
RAG vs fine-tuning — fundamental difference?	RAG injects retrieved context at inference time — model weights do not change · fine-tuning updates the model's weights	dp-800 vector-ai rag
JSON path to extract the embedding from sp_invoke_external_rest_endpoint response?	$.result.data[0].embedding — note the 'result' envelope from sp_invoke	dp-800 vector-ai sp-invoke
JSON path to extract the chat completion content from sp_invoke_external_rest_endpoint response?	$.result.choices[0].message.content	dp-800 vector-ai sp-invoke rag
Default MAXDOP setting for new Azure SQL databases?	0 = unlimited (use all available CPUs)	dp-800 azure-sql-config config
Default PARAMETER_SNIFFING setting and when to disable?	ON by default · disable for ad-hoc workloads where plan reuse hurts more than it helps	dp-800 azure-sql-config config
Setting that reduces plan-cache bloat from ad-hoc queries?	OPTIMIZE_FOR_AD_HOC_WORKLOADS = ON · caches a stub on first execution	dp-800 azure-sql-config config
Compatibility level 160 maps to which SQL Server version and key feature?	SQL Server 2022 · parameter-sensitive plan (PSP) optimization, CE feedback	dp-800 azure-sql-config compatibility
Compatibility level 150 — version and feature?	SQL Server 2019 · batch mode on rowstore, scalar UDF inlining	dp-800 azure-sql-config compatibility
Does compatibility level upgrade the database engine version?	No — compatibility level only changes query optimizer behavior · a DB at level 150 on SQL Server 2022 still runs on the 2022 engine	dp-800 azure-sql-config compatibility
How to enable Query Store?	ALTER DATABASE CURRENT SET QUERY_STORE = ON · on by default for new Azure SQL DBs, off for migrated older DBs	dp-800 azure-sql-config query-store
Query Store catalog views for plans and runtime stats?	sys.query_store_plan = execution plans · sys.query_store_runtime_stats = runtime stats per plan per interval	dp-800 azure-sql-config query-store
Stored procedure to force a known-good plan in Query Store?	sp_query_store_force_plan @query_id, @plan_id	dp-800 azure-sql-config query-store
Stored procedure to apply an OPTION hint without changing app code?	sp_query_store_set_hints @query_id, @query_hints = N'OPTION (RECOMPILE, MAXDOP 1)' · SS2022+ / Azure SQL	dp-800 azure-sql-config query-store
Default transaction isolation level in SQL Server?	READ COMMITTED	dp-800 azure-sql-config isolation
Isolation level that prevents dirty reads, non-repeatable reads, AND phantoms using locks?	SERIALIZABLE · uses range locks	dp-800 azure-sql-config isolation
SNAPSHOT vs READ_COMMITTED_SNAPSHOT (RCSI)?	SNAPSHOT: per-transaction, set by app via SET TRANSACTION ISOLATION LEVEL SNAPSHOT · RCSI: database-level setting that changes the default READ COMMITTED to use row versioning	dp-800 azure-sql-config isolation
What is Data API Builder (DAB)?	Tool that exposes Azure SQL tables and stored procedures as REST and GraphQL endpoints from a config file — no custom code	dp-800 azure-sql-config dab
DAB REST URL pattern to fetch a row by primary key?	GET /api/{entity}/{pkColumn}/{pkValue} — e.g., /api/customers/CustomerID/42	dp-800 azure-sql-config dab
DAB REST query-string filters?	$filter=Name eq 'Alice' · $select=Name,Email · $orderby=Name asc	dp-800 azure-sql-config dab
sqlpackage action: extract DACPAC (schema only) from existing DB?	/Action:Extract → produces a DACPAC (reverse-engineer)	dp-800 azure-sql-config sqlpackage
sqlpackage action: deploy DACPAC to a database?	/Action:Publish → diff-based, incremental schema deployment	dp-800 azure-sql-config sqlpackage
sqlpackage action for BACPAC create vs load?	/Action:Export creates a BACPAC (schema + data) · /Action:Import loads it (full replace)	dp-800 azure-sql-config sqlpackage
DACPAC vs BACPAC — contents and use case?	DACPAC: schema only, incremental, for CI/CD · BACPAC: schema + data, full replacement, for backup / migration	dp-800 azure-sql-config sqlpackage
CDC operation code 1?	Delete	dp-800 azure-sql-config cdc
CDC operation code 2?	Insert	dp-800 azure-sql-config cdc
CDC operation codes 3 and 4?	3 = Update (before image) · 4 = Update (after image)	dp-800 azure-sql-config cdc
Difference: cdc.fn_cdc_get_all_changes vs cdc.fn_cdc_get_net_changes?	get_all_changes returns codes 1, 2, 3, 4 · get_net_changes returns latest state per row: codes 1, 2, 4 only (no before-image)	dp-800 azure-sql-config cdc
Enable Automatic Plan Correction?	ALTER DATABASE db SET AUTOMATIC_TUNING (FORCE_LAST_GOOD_PLAN = ON) · monitor via sys.dm_db_tuning_recommendations	dp-800 azure-sql-config automatic-tuning
